StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your Participant ID,Please rank the types of art from best experience to worst experience - No Art,Please rank the types of art from best experience to worst experience - 2D Art,Please rank the types of art from best experience to worst experience - 3D Art,Please rank the locations by how well they suited the AR art. From best to worst suitability - ARC Courtyard,Please rank the locations by how well they suited the AR art. From best to worst suitability - University Avenue,Please rank the locations by how well they suited the AR art. From best to worst suitability - East Quadrangle,Please rank the conditions from best to worst in terms of enjoyability and visual beauty - ARC Courtyard No Art,Please rank the conditions from best to worst in terms of enjoyability and visual beauty - ARC Courtyard 2D Art,Please rank the conditions from best to worst in terms of enjoyability and visual beauty - ARC Courtyard 3D Art,Please rank the conditions from best to worst in terms of enjoyability and visual beauty - University Avenue No Art,Please rank the conditions from best to worst in terms of enjoyability and visual beauty - University Avenue 2D Art,Please rank the conditions from best to worst in terms of enjoyability and visual beauty - University Avenue 3D Art,Please rank the conditions from best to worst in terms of enjoyability and visual beauty - East Quadrangle No Art,Please rank the conditions from best to worst in terms of enjoyability and visual beauty - East Quadrangle 2D Art,Please rank the conditions from best to worst in terms of enjoyability and visual beauty - East Quadrandle 3D Art
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_7""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_9""}"
2025-02-11 13:04:04,2025-02-11 13:34:14,IP Address,148.252.156.169,100,1810,True,2025-02-11 13:34:14,R_8Lhzco2K4El4mSj,,,,,51.4964,-0.1224,anonymous,EN-GB,1,3,2,1,1,3,2,6,7,1,9,4,8,3,5,2
2025-02-11 14:33:47,2025-02-11 14:35:17,IP Address,31.94.68.59,100,90,True,2025-02-11 14:35:18,R_2QXAJdb0jbh6gqS,,,,,55.867,-4.2621,anonymous,EN-GB,3,3,2,1,1,3,2,8,4,1,9,6,2,7,3,5
2025-02-11 14:34:01,2025-02-11 14:35:38,IP Address,130.209.157.50,100,97,True,2025-02-11 14:35:38,R_8OpmEa0tORGJ2AK,,,,,55.867,-4.2621,anonymous,EN-GB,2,3,1,2,2,3,1,8,5,6,9,3,4,7,2,1
2025-02-11 16:57:15,2025-02-11 17:00:09,IP Address,130.209.157.51,100,174,True,2025-02-11 17:00:09,R_8jh0Z4wZSYJyqJ3,,,,,55.867,-4.2621,anonymous,EN-GB,4,3,2,1,2,3,1,5,1,2,9,4,8,6,7,3
2025-02-11 17:26:57,2025-02-11 17:28:25,IP Address,130.209.157.52,100,87,True,2025-02-11 17:28:25,R_8d3VhLAPAv1Ac6N,,,,,55.867,-4.2621,anonymous,EN-GB,5,3,1,2,1,3,2,7,1,2,8,5,9,6,3,4
2025-02-16 13:06:08,2025-02-16 13:10:02,IP Address,31.185.185.192,100,234,True,2025-02-16 13:10:03,R_8WK4BmXdY8ckO0F,,,,,55.891,-4.2881,anonymous,EN-GB,6,3,2,1,1,3,2,6,5,4,9,7,8,1,3,2
2025-02-16 13:10:18,2025-02-16 13:11:27,IP Address,31.185.185.192,100,68,True,2025-02-16 13:11:27,R_2SG56XyStn0Wgw1,,,,,55.891,-4.2881,anonymous,EN-GB,7,2,3,1,1,3,2,5,3,1,7,9,8,4,6,2
2025-02-16 15:11:32,2025-02-16 15:16:00,IP Address,194.75.12.226,100,268,True,2025-02-16 15:16:01,R_2IDW263RJ09PHSP,,,,,55.8803,-4.3055,anonymous,EN-GB,8,3,2,1,1,3,2,7,3,2,9,5,6,8,4,1
2025-02-18 15:11:05,2025-02-18 15:15:14,IP Address,194.81.172.16,100,248,True,2025-02-18 15:15:15,R_8pcgSMlP934c0Sl,,,,,55.8803,-4.3055,anonymous,EN-GB,10,3,2,1,1,3,2,7,2,1,8,5,9,6,4,3
2025-02-23 09:30:05,2025-02-23 09:33:44,IP Address,86.185.234.56,100,218,True,2025-02-23 09:33:45,R_2ysKdYTihTioU3T,,,,,55.8953,-4.351,anonymous,EN-GB,9,3,2,1,2,3,1,8,3,1,9,7,5,6,4,2
2025-02-23 17:52:42,2025-02-23 17:56:25,IP Address,194.81.172.16,100,222,True,2025-02-23 17:56:25,R_8ojw9gnadbbR3Yl,,,,,55.867,-4.2621,anonymous,EN-GB,12,2,1,3,2,3,1,5,1,4,8,7,9,6,2,3
2025-02-23 21:44:09,2025-02-23 21:47:17,IP Address,87.80.237.193,100,188,True,2025-02-23 21:47:18,R_2nopyRt80TJw0UP,,,,,55.9116,-4.3739,anonymous,EN-GB,11,2,3,1,2,3,1,6,5,2,4,8,9,1,7,3
